,order_products_value,order_freight_value,product_description_lenght,product_photos_qty,review_score,review_comment_message,delta days
0,349.9,13.84,625,1,5,,5.0
1,15.0,15.1,1428,2,5,entrega em 2 dias produto c boa qualidade otimo custo beneficio,3.0
2,238.9,18.0,637,1,5,produto veio antes do prazo informado muito obrigado pela agilidade,6.0
3,29.99,18.23,617,1,4,,23.0
4,295.99,47.65,558,2,5,,9.0
5,160.0,19.0,1422,1,4,chegou bem antes do prazo ótimo vendedor,15.0
6,25.0,19.09,369,2,3,gostei do produto,18.0
7,43.3,17.44,380,2,5,,3.0
8,89.9,14.8,245,1,4,,8.0
9,40.0,8.88,490,2,5,,3.0
10,119.9,18.09,242,1,5,,16.0
11,59.9,29.95,2124,6,1,,9.0
12,187.0,22.11,591,3,5,o produto veio certinho muito bem embalado e bem antes do prazo era pra chegae dia 26 e chegou dia 9 muito bom mesmo,11.0
13,219.9,18.79,782,1,4,,18.0
14,13.9,10.96,708,1,5,,6.0
15,39.0,18.37,772,1,2,,13.0
16,59.99,13.44,518,4,5,,6.0
17,39.99,15.23,405,2,5,,9.0
18,121.97,23.43,691,1,5,produtos em perfeitas condições e entrega dentro do prazo,3.0
19,89.9,18.0,558,2,5,,8.0
20,50.0,16.79,218,1,2,veio apenas um produto porém foi cobrado 2 produtos já fiz a reclamação e até o momento não obtive resposta,7.0
21,119.99,14.6,992,1,5,gostei do celular minha mae achou lindo para pessoa idosa que nao sabe mecher muito esta perfeito so nao conceguir instalar o whatapp a firefox bem que poderia da um jeito,24.0
22,69.9,42.52,512,1,4,a mercadoria chegou antes do prazo final recomendo,12.0
23,85.0,14.34,710,1,5,,10.0
24,55.9,15.15,864,4,5,,8.0
25,86.0,11.81,685,1,5,atendimento produto e entrega perfeitos,2.0
26,134.9,38.08,1048,4,1,o correio ainda não fez a entrega to furioso,58.0
27,44.9,8.47,81,1,5,,1.0
28,18.9,24.35,198,5,5,,15.0
29,56.99,11.9,1536,2,5,,6.0
30,94.9,17.4,584,3,5,,5.0
31,108.0,13.78,226,1,4,,12.0
32,89.99,26.25,1893,1,4,,10.0
33,42.79,7.71,266,2,5,,1.0
34,59.9,17.13,799,1,5,chegou em ordem dentro do prazo conforme a descrição do site,3.0
35,39.0,7.78,192,5,4,,2.0
36,65.0,7.85,741,5,4,,3.0
37,78.0,7.8,319,4,4,errei na hora de inserir o endereço informei o acontecido por antendimento email e no final recebi o produto no prazo uma sugestão seria que funcionalidade de rastreio funcione tmb nos imprevistos,8.0
38,37.5,45.3,526,2,5,recebi tudo em ordem,7.0
39,55.0,16.36,800,1,5,,8.0
40,9.9,15.1,118,1,4,,20.0
41,159.0,21.6,269,1,3,legal,13.0
42,170.0,21.68,514,2,1,,55.0
43,129.0,15.35,1330,5,5,,6.0
44,49.9,7.7,412,5,5,foi uma excelente compra recomendo,1.0
45,7.0,15.1,3135,2,5,,6.0
46,60.0,20.91,1665,1,5,muito bom cabelo fica lisinho,12.0
47,49.0,11.85,440,1,2,,8.0
48,16.99,14.52,176,2,4,bom produto,6.0
49,910.0,17.82,1839,1,5,,4.0
50,148.9,23.91,744,2,4,gostei pode comprar,10.0
51,329.99,12.7,728,4,1,não recebi o meu produto e nem fui avisada da falta do item na loja quando entrei em contato quase 1 mês depois é que fiquei sabendo que o produto não seria entregue pois não havia mais em estoque,18.0
52,36.2,12.91,100,4,5,,22.0
53,98.0,35.34,340,2,4,,15.0
54,17.78,30.46,487,2,2,comprei duas capas para chave e só foi entregue uma,7.0
55,44.99,7.58,94,5,4,,4.0
56,251.9,19.04,214,6,1,comprei um produto e recebi outro e inferior gostaria de receber uma resposta à reclamação que fiz anteriormente att suzana costa,32.0
57,29.9,15.79,222,5,5,muito bom,10.0
58,105.0,45.54,829,1,3,faltou uma luminária pedi 3 e recebi apenas duas luminárias foi entregue incorretamente,6.0
59,24.99,7.78,536,1,4,,6.0
60,49.99,15.1,1306,1,4,,7.0
61,49.9,19.59,366,2,5,,16.0
62,119.9,35.0,2523,4,5,,5.0
63,117.3,24.64,570,1,3,,21.0
64,80.0,19.75,405,1,5,,9.0
65,79.99,10.94,492,3,4,gostei,6.0
66,49.9,34.15,412,5,5,,15.0
67,99.0,45.99,450,1,5,,16.0
68,149.9,43.08,1105,3,4,,22.0
69,175.9,15.03,604,1,5,,13.0
70,58.99,11.73,492,2,4,,4.0
71,337.69,19.2,735,2,5,,6.0
72,108.9,14.93,962,2,4,,8.0
73,639.0,21.4,2141,1,5,o produto foi entregue no prazo e bem acondicionado,11.0
74,138.0,30.0,1301,3,4,embora no final informou um prazo muito longo para entrega a mercadoria foi entregue no prazo,13.0
75,23.99,7.78,575,1,5,estou muito satisfeito,4.0
