,order_products_value,order_freight_value,product_description_lenght,product_photos_qty,review_score,review_comment_message,delta_days,Classificacao,pos_prob,neg_prob,neu_prob
59597,195.9,12.87,465,2,5,o produto chegou antes do prazo e exatamente o que solicitado em bom estado,12.0,1,0.9999977453760188,1.2952757932928552e-07,2.125096403427821e-06
27058,52.2,37.92,408,3,5,muito bom o atendimento,15.0,1,0.9964008534880264,0.001266232936593134,0.002332913575380553
48058,59.9,14.51,738,6,5,muito satisfeita,9.0,1,0.9941715917491829,0.002569963006235752,0.0032584452445819016
87590,99.85,14.47,170,2,5,cortina bonita e exatamente como na foto,11.0,1,0.9559115122861193,0.00928550294527059,0.03480298476861213
1604,66.29,12.48,130,1,1,produto totalmente diferente da foto de péssima qualidade decepção total,7.0,-1,9.461166671533941e-05,0.999650675331743,0.0002547130015430694
37357,149.0,14.77,1151,9,5,o produto chegou antes do prazo previsto,10.0,1,0.9999447337930324,1.910643450360256e-05,3.615977246280995e-05
13271,99.9,16.46,743,5,5,ótimo,5.0,1,0.9759485881083321,0.005653692119720499,0.018397719771947305
7498,55.0,17.42,368,2,1,fui enganado ficou faltando um produto e me entregaram como se tivesse o pedido completo compro na lannister com há muitos anos e nunca tive este tipo de problema antes,9.0,-1,8.495035238774289e-05,0.999588631293492,0.0003264183541078552
76716,79.9,12.9,188,1,5,sem palavras estão de parabéns pela competência e dedicação ao cliente,5.0,1,0.9999003128012057,4.361128691509296e-05,5.6075911881897284e-05
18535,89.9,3.67,3217,1,5,preciso saber pq consta pedido entregue pois não recebi a mercado ainda,6.0,1,0.00010051787028071652,0.9995502049006108,0.00034927722911014557
15901,42.15,18.23,480,4,2,produto de baixa qualidade,6.0,-1,0.6365200345483152,0.2844897311381158,0.07899023431356823
78599,44.9,16.11,536,1,5,tudo aconteceu como o previsto,22.0,1,0.9811313510020998,0.009393310818706709,0.009475338179194553
95428,144.0,18.89,638,1,3,achei o valor do frete muito alto e o prazo de entrega muito longo,10.0,0,0.986765461136085,0.00035103288745656536,0.012883505976460883
48963,40.5,12.43,246,3,4,chegou antes do tempo,4.0,1,0.9975332565530842,0.001170905073170864,0.0012958383737457242
84807,493.24,56.54,1246,1,1,não veio o produto certo quero devolver o mesmo e quero meu dinheiro de volta,10.0,-1,1.5228062444065386e-05,0.9999384995838675,4.627235369546137e-05
76910,139.9,14.01,1198,3,5,muito bom som potente,3.0,1,0.9937098381380487,0.000663974117224571,0.005626187744727287
23139,98.0,25.53,582,1,3,apenas um pneu foi recebido faltou pneu dianteiro adquirido stark na mesma data,13.0,0,0.004308311811216234,0.9511226765109789,0.04456901167780816
99624,299.9,73.95,2150,6,3,a ferramenta é otina mas o produto levou bastante tempo para ser entregue,30.0,0,0.7411406516716585,0.005595172661973362,0.25326417566637205
6567,119.6,16.54,154,1,5,não houve qualquer imprevisto a entrega do produto foi realizada conforme o prometido,15.0,1,0.9806077010729736,0.017364286466337857,0.002028012460694625
54352,209.0,18.17,957,3,5,td ok,10.0,1,0.9702013550177708,0.0037716537527780077,0.02602699122945144
67012,899.0,22.54,1512,1,5,amei seguro chegou direitinho no meu endereço exatamente o produto que escolhi responsabilidade e respeito ao cliente nota 10 parabéns a toda equipe recomendo mil vezes obrigada,4.0,1,0.9999999999870113,4.161073843887123e-12,8.818937630852577e-12
46825,124.9,12.26,454,1,5,muito bom,3.0,1,0.981074642491602,0.004709300623163155,0.014216056885234052
68970,149.0,12.54,458,4,1,na página do produto a foto mostra um produto original com a maçã da apple o produto chegou e não é um produto original,17.0,-1,0.016850747158197073,0.9713079161157999,0.011841336726000753
70900,29.0,20.8,946,6,5,fiquei satisfeita mes que vem pego mais coisas,20.0,1,0.8736296160580689,0.01437506699938921,0.11199531694253972
81998,219.8,32.8,616,2,1,recomendaria a loja por outros produtos que adquiri mas por este produto não é de péssima qualidade a franja fica molhada não tem como usar como faço para devolver,15.0,-1,1.1833767733724206e-06,0.9998486256499588,0.00015019097326665143
27179,53.9,26.97,366,2,3,recebi apenas 1 dos itens,10.0,0,0.01724217591914042,0.9479238356882286,0.03483398839262998
7063,205.0,22.27,162,5,4,excelente,12.0,1,0.9878043024013081,0.0037143256345427782,0.00848137196414922
59232,249.9,97.78,1013,5,5,entrega rápida produto como na descrição,10.0,1,0.9931940450430516,0.002925105200265236,0.0038808497566826705
13510,449.9,18.91,477,1,5,o produto foi entregue antes do prazo nominal muito bom,10.0,1,0.9999495960464836,4.85031696200811e-06,4.5553636552990497e-05
37590,58.32,18.21,1088,8,5,muito correto parabéns,9.0,1,0.9984862539685663,0.00017823511060868422,0.0013355109208256302
75147,799.0,19.35,250,4,1,comprei o relogio para o dia das mães e até hoje o mesmo não chegou,27.0,-1,0.0015566674911122271,0.9962373364159577,0.002205996092934467
79623,129.0,15.65,588,8,5,gostei,6.0,1,0.8661237885279314,0.07497684431255718,0.05889936715951117
84993,59.9,20.87,960,1,5,recebi antes do prazo produto de qualidade já comprei mais 2 pra minha irmã e amiga que tbm gostaram,12.0,1,0.984717233733231,0.006156744968387608,0.009126021298377735
59905,59.99,8.88,614,1,4,produto e entrega superou minhas expectativas,2.0,1,0.999856751476698,6.310792881280459e-05,8.014059448782774e-05
40060,34.9,14.1,945,1,2,recebi o produto dentro do prazo mas avalio de baixa qualidade é necessário muito cuidado no manuseio pois o material é muito frágil no site não é possível fazer comparação da qualidade,13.0,-1,0.9768335327350971,0.0012508204304904423,0.02191564683441923
24008,93.9,18.53,394,1,4,produtos bons,6.0,1,0.9541985275763621,0.03426498528191798,0.011536487141720118
34558,369.0,21.77,905,1,5,excelente,12.0,1,0.9878043024013081,0.0037143256345427782,0.00848137196414922
89803,55.99,8.72,1306,1,5,parceiro eficaz quanto a logistica,4.0,1,0.9728089017693199,0.018767678592311352,0.008423419638372044
75685,33.8,30.2,544,1,5,comprei 2 unidades recebi 1 unidade ainda paguei 2 fretes para vir junto,32.0,1,4.724483200382698e-05,0.8596131190651228,0.14033963610286926
42096,101.0,16.9,576,4,5,indico para outras pessoas,12.0,1,0.969199920815524,0.023982832363281824,0.006817246821194091
45919,249.99,20.94,1495,2,3,a caixa não veio lacrada não tenho como ter certeza se o produto é novo os cantos da embalagem estão ligeiramente danificados,6.0,0,0.005849882605246254,0.3254060850746775,0.6687440323200695
20623,64.99,8.62,1908,5,5,atingiu minhas expectativas,1.0,1,0.9964498411924324,0.0012728564115471923,0.002277302396020821
99325,179.9,74.21,2598,4,5,bons preços muito certos nas entregas e pq nunca tive problemas só elogios,21.0,1,0.9994628813705565,9.21166633243831e-05,0.0004450019661244986
66041,79.9,42.59,340,4,5,muito bom recomendo,17.0,1,0.9978845977082325,0.0005450153704508332,0.0015703869213175075
35600,70.9,26.82,500,1,5,tudo certo,13.0,1,0.9801636922501253,0.005510087076330887,0.014326220673543845
26801,34.9,17.92,734,10,4,muito bom recomendo,17.0,1,0.9978845977082325,0.0005450153704508332,0.0015703869213175075
87795,364.0,64.8,625,1,5,chegou tudo certinho e antes do prazo,7.0,1,0.9999767773574947,1.2000046946853498e-06,2.2022637812430475e-05
53519,82.97,14.31,597,1,5,rapidez e qualidade,11.0,1,0.9843886034499739,0.0036557050606661695,0.0119556914893596
44266,44.5,22.28,465,1,1,eu fiz o cancelamento desse produto e pedi o ressarcimento do valor porém não me estornarão,9.0,-1,2.3270136709479396e-05,0.9983526477248034,0.0016240821384830794
60583,99.99,8.89,209,4,5,ótimo produto e prazo de entrega,3.0,1,0.9988960019829339,0.0002347296388633265,0.0008692683782025582
4488,199.9,17.03,264,1,5,produto muito bom conforme anúncio e qualidade muito boa,5.0,1,0.9999359284846338,5.138816362573239e-06,5.893269900201997e-05
83781,27.98,14.78,429,1,5,comprei dois prudutos e achei caro o frete quando recebi eu entendi o motivo cada produto veio numa caixa separada do tamanho que caberia uns 10 produtos numa unica caixa,1.0,1,0.008194376708222631,0.8035136894702349,0.18829193382153547
40337,489.5,38.75,288,4,1,o tipo de entrega pac é muito demorado,15.0,-1,0.432359222908706,0.3701693754079057,0.19747140168339097
27463,190.9,12.84,721,2,5,muito rápida a entrega,8.0,1,0.99689610153575,0.0007736613459363953,0.002330237118312635
83380,99.9,17.95,188,1,4,satisfatório,28.0,1,0.8414029535400704,0.09664891210664349,0.061948134353285327
36629,89.9,18.43,236,2,5,ótimo atendeu às minhas espectativas,6.0,1,0.9997319300039892,2.97069681738876e-06,0.00026509929919508904
76269,34.9,9.74,535,3,4,a caixa do jogo veio com um pequeno rasgado mas eu não quis trocar no mais tudo ocorreu muito bem,1.0,1,0.8999030641825263,0.0038407868103289603,0.09625614900714975
40884,88.0,15.31,888,1,1,só recebi metade dos produtos que eu paguei,21.0,-1,0.0018142067701960973,0.9873313491584613,0.010854444071341875
20113,119.4,20.08,305,6,5,recomendo sim além de chegar antes do prazo estabelecido o produto foi como eu esperava,16.0,1,0.9999962580213358,1.8850150438123721e-06,1.856963622482264e-06
52570,120.0,15.59,507,1,5,pedido chegou muito rápido bem antes que a data prevista,5.0,1,0.9999915743316495,3.2441343963723e-06,5.181533951930503e-06
27003,29.0,7.94,2009,4,5,entrega antes do prazo otimo,1.0,1,0.9999451219159571,1.169951078315517e-05,4.3178573259234365e-05
70351,44.99,11.75,788,3,2,o abajur veio certinho porém o ki bolsa a pequena veio rasgada e agora a troca é uma burocracia difícil o pós venda,1.0,-1,0.0018361689319458657,0.2564152312000022,0.7417485998680454
21169,49.9,11.85,617,4,5,muito bom meu neto ficou satisfeito,8.0,1,0.9972497532621033,0.0003854662018538706,0.0023647805360400426
9470,780.0,140.94,1031,6,1,comprei 9 torres chegaram 8 e nao chegaram juntas chegou 7 em um dia e 1 no outro e ainda falta uma,12.0,-1,9.702835491712863e-05,0.9952891637918307,0.004613807853255686
58272,129.9,23.9,245,2,5,adorei a mesinha de acordo com a descrição fácil de montar e super bonita,14.0,1,0.999991081109525,4.638190432104648e-07,8.455071428850938e-06
38450,34.9,17.97,1116,2,3,demoro de mais para chegar,16.0,0,0.2736142212176548,0.3551887985435636,0.3711969802387839
636,119.99,12.04,659,1,5,bolsa linda e de qualidade,4.0,1,0.9924339443080564,0.0035939281685870676,0.003972127523357203
57996,189.99,16.08,514,2,4,o produto chegou antes do esperado e em perfeito estado recomendo muito,12.0,1,0.9999999073184228,5.1303608268623706e-09,8.755121697720476e-08
37708,318.5,16.98,324,1,5,recebi bem antes do prazo recebi tudo certo e o mais importante amei,14.0,1,0.9999966780810576,2.410549409517875e-08,3.297813451453316e-06
48090,122.0,32.38,2139,1,5,bom serviço,9.0,1,0.9693985214947352,0.007085518968968902,0.023515959536295275
97360,799.9,39.14,1189,2,5,cumpriu os prazos ótima loja produto perfeito,20.0,1,0.9998673406045594,2.6640491343066086e-05,0.0001060189040981142
80984,80.0,48.0,238,2,5,recomendo pois são eficazes,19.0,1,0.9502728819883491,0.023770526702366623,0.025956591309285723
